DEBUG 2023-05-07 20:35:33,321 autoreload File /usr/lib/python3.10/contextlib.py first seen with mtime 1678445728.0
DEBUG 2023-05-07 20:35:33,322 autoreload File /home/sorour/.local/lib/python3.10/site-packages/django/db/models/lookups.py first seen with mtime 1680074303.5502138
DEBUG 2023-05-07 20:35:33,323 autoreload File /usr/lib/python3.10/numbers.py first seen with mtime 1678445728.0
DEBUG 2023-05-07 20:35:33,324 autoreload File /usr/lib/python3/dist-packages/pkg_resources/_vendor/packaging/version.py first seen with mtime 1639341955.0
DEBUG 2023-05-07 20:35:33,326 autoreload File /home/sorour/.local/lib/python3.10/site-packages/pygments/styles/default.py first seen with mtime 1680075945.9397542
DEBUG 2023-05-07 20:35:33,327 autoreload File /usr/lib/python3.10/unittest/loader.py first seen with mtime 1678445728.0
DEBUG 2023-05-07 20:35:33,327 autoreload File /home/sorour/.local/lib/python3.10/site-packages/rest_framework/relations.py first seen with mtime 1680074471.4301696
DEBUG 2023-05-07 20:35:33,328 autoreload File /home/sorour/.local/lib/python3.10/site-packages/rest_framework_simplejwt/tokens.py first seen with mtime 1680076367.4496355
DEBUG 2023-05-07 20:35:33,329 autoreload File /home/sorour/.local/lib/python3.10/site-packages/django/views/csrf.py first seen with mtime 1680074303.6002138
DEBUG 2023-05-07 20:35:33,330 autoreload File /home/sorour/.local/lib/python3.10/site-packages/django/templatetags/cache.py first seen with mtime 1680074303.5802138
DEBUG 2023-05-07 20:35:33,330 autoreload File /home/sorour/.local/lib/python3.10/site-packages/django/db/models/fields/related_descriptors.py first seen with mtime 1680074303.5602138
DEBUG 2023-05-07 20:35:33,333 autoreload File /mnt/c/Users/moham/Desktop/MarketX/MarketX-backend/ecommerce_api_project/my_ecommerce_api/models.py first seen with mtime 1683383810.8664515
DEBUG 2023-05-07 20:35:33,334 autoreload File /usr/lib/python3/dist-packages/chardet/charsetgroupprober.py first seen with mtime 1607626374.0
DEBUG 2023-05-07 20:35:33,335 autoreload File /home/sorour/.local/lib/python3.10/site-packages/django/contrib/auth/apps.py first seen with mtime 1680074303.090214
DEBUG 2023-05-07 20:35:33,335 autoreload File /usr/lib/python3/dist-packages/requests/__version__.py first seen with mtime 1608147266.0
DEBUG 2023-05-07 20:35:33,336 autoreload File /usr/lib/python3/dist-packages/requests/api.py first seen with mtime 1608147266.0
DEBUG 2023-05-07 20:35:33,337 autoreload File /home/sorour/.local/lib/python3.10/site-packages/django/urls/exceptions.py first seen with mtime 1680074303.5902138
DEBUG 2023-05-07 20:35:33,337 autoreload File /home/sorour/.local/lib/python3.10/site-packages/django/contrib/sessions/__init__.py first seen with mtime 1680074303.440214
DEBUG 2023-05-07 20:35:33,338 autoreload File /home/sorour/.local/lib/python3.10/site-packages/django/utils/decorators.py first seen with mtime 1680074303.5902138
DEBUG 2023-05-07 20:35:33,339 autoreload File /usr/lib/python3.10/quopri.py first seen with mtime 1678445728.0
DEBUG 2023-05-07 20:35:33,340 autoreload File /usr/lib/python3.10/random.py first seen with mtime 1678445728.0
DEBUG 2023-05-07 20:35:33,341 autoreload File /home/sorour/.local/lib/python3.10/site-packages/django/utils/timesince.py first seen with mtime 1680074303.6002138
DEBUG 2023-05-07 20:35:33,342 autoreload File /home/sorour/.local/lib/python3.10/site-packages/rest_framework/filters.py first seen with mtime 1680074471.4301696
DEBUG 2023-05-07 20:35:33,344 autoreload File /home/sorour/.local/lib/python3.10/site-packages/pytz/exceptions.py first seen with mtime 1680074471.3401697
DEBUG 2023-05-07 20:35:33,344 autoreload File /home/sorour/.local/lib/python3.10/site-packages/sqlparse/engine/grouping.py first seen with mtime 1680074302.6902142
DEBUG 2023-05-07 20:35:33,348 autoreload File /mnt/c/Users/moham/Desktop/MarketX/MarketX-backend/ecommerce_api_project/my_ecommerce_api/serializers.py first seen with mtime 1683385076.1394775
DEBUG 2023-05-07 20:35:33,348 autoreload File /home/sorour/.local/lib/python3.10/site-packages/django/forms/forms.py first seen with mtime 1680074303.5602138
DEBUG 2023-05-07 20:35:33,349 autoreload File /usr/lib/python3.10/platform.py first seen with mtime 1678445728.0
DEBUG 2023-05-07 20:35:33,350 autoreload File /home/sorour/.local/lib/python3.10/site-packages/rest_framework_simplejwt/settings.py first seen with mtime 1680076367.4496355
DEBUG 2023-05-07 20:35:33,351 autoreload File /home/sorour/.local/lib/python3.10/site-packages/django/db/models/functions/datetime.py first seen with mtime 1680074303.5602138
DEBUG 2023-05-07 20:35:33,351 autoreload File /home/sorour/.local/lib/python3.10/site-packages/sqlparse/filters/right_margin.py first seen with mtime 1680074302.7002141
DEBUG 2023-05-07 20:35:33,352 autoreload File /home/sorour/.local/lib/python3.10/site-packages/django/contrib/auth/migrations/0010_alter_group_name_max_length.py first seen with mtime 1680074303.150214
DEBUG 2023-05-07 20:35:33,353 autoreload File /home/sorour/.local/lib/python3.10/site-packages/psycopg2/_json.py first seen with mtime 1680079525.4887493
DEBUG 2023-05-07 20:35:33,353 autoreload File /home/sorour/.local/lib/python3.10/site-packages/rest_framework_simplejwt/models.py first seen with mtime 1680076367.4496355
DEBUG 2023-05-07 20:35:33,354 autoreload File /usr/lib/python3.10/email/header.py first seen with mtime 1678445728.0
